LocNombre,Walk_Base
BOSA,0.57464
BOSA,0.52626
BOSA,0.52626
BOSA,0.46186
BOSA,0.4059
BOSA,0.3379
BOSA,0.33797
BOSA,0.39218
BOSA,0.29668
BOSA,0.33895
BOSA,0.40459
BOSA,0.40459
BOSA,0.41598
BOSA,0.3806
BOSA,0.33639
BOSA,0.3346
BOSA,0.34563
BOSA,0.33462
BOSA,0.3357
BOSA,0.39304
BOSA,0.33509
BOSA,0.40473
BOSA,0.44173
BOSA,0.41254
BOSA,0.51691
BOSA,0.54493
BOSA,0.35948
BOSA,0.35948
BOSA,0.37905
BOSA,0.38667
BOSA,0.57724
BOSA,0.67399
BOSA,0.50632
BOSA,0.54497
BOSA,0.52012
BOSA,0.46619
BOSA,0.52012
BOSA,0.52012
BOSA,0.45394
BOSA,0.33394
BOSA,0.33601
BOSA,0.3368
BOSA,0.3327
BOSA,0.40141
BOSA,0.53043
BOSA,0.54933
BOSA,0.54933
BOSA,0.54933
BOSA,0.54933
BOSA,0.48814
BOSA,0.48814
BOSA,0.42175
BOSA,0.33548
BOSA,0.33628
BOSA,0.33909
BOSA,0.383
BOSA,0.40089
BOSA,0.3364
BOSA,0.34024
BOSA,0.34058
BOSA,0.34024
BOSA,0.33559
BOSA,0.33691
BOSA,0.34132
BOSA,0.33562
BOSA,0.39201
BOSA,0.37243
BOSA,0.31863
BOSA,0.39012
BOSA,0.39582
BOSA,0.39582
BOSA,0.47554
BOSA,0.41708
BOSA,0.46771
BOSA,0.53843
BOSA,0.53023
BOSA,0.58417
BOSA,0.35488
BOSA,0.46769
BOSA,0.46666
BOSA,0.35079
BOSA,0.6306
BOSA,0.50698
BOSA,0.40619
BOSA,0.50909
BOSA,0.62452
BOSA,0.61482
BOSA,0.61963
BOSA,0.49481
BOSA,0.46021
BOSA,0.52188
BOSA,0.58845
BOSA,0.53451
BOSA,0.46861
BOSA,0.33281
BOSA,0.6058
BOSA,0.49614
BOSA,0.49634
BOSA,0.55643
BOSA,0.51886
BOSA,0.52446
BOSA,0.31929
BOSA,0.40552
BOSA,0.66433
BOSA,0.59589
BOSA,0.54227
BOSA,0.54227
BOSA,0.40626
BOSA,0.46359
BOSA,0.57118
BOSA,0.46597
BOSA,0.45217
BOSA,0.50516
BOSA,0.55026
BOSA,0.53868
BOSA,0.33216
BOSA,0.39533
BOSA,0.33516
BOSA,0.40549
BOSA,0.31628
BOSA,0.29003
BOSA,0.29125
BOSA,0.29125
BOSA,0.29125
BOSA,0.29125
BOSA,0.29145
BOSA,0.34507
BOSA,0.29263
BOSA,0.29127
BOSA,0.29127
BOSA,0.41128
BOSA,0.56752
BOSA,0.51101
BOSA,0.57615
BOSA,0.52222
BOSA,0.52222
BOSA,0.48134
BOSA,0.49357
BOSA,0.34061
BOSA,0.46532
BOSA,0.40795
BOSA,0.40818
BOSA,0.28105
BOSA,0.40362
BOSA,0.34896
BOSA,0.50566
BOSA,0.46194
BOSA,0.52196
BOSA,0.53636
BOSA,0.53636
BOSA,0.47455
BOSA,0.47455
BOSA,0.52817
BOSA,0.47284
BOSA,0.47284
BOSA,0.47284
BOSA,0.53465
BOSA,0.52282
BOSA,0.52128
BOSA,0.41513
BOSA,0.35132
BOSA,0.35213
BOSA,0.33424
BOSA,0.50205
BOSA,0.60252
BOSA,0.40696
BOSA,0.47233
BOSA,0.40735
BOSA,0.48104
BOSA,0.50164
BOSA,0.61845
BOSA,0.48448
BOSA,0.60978
BOSA,0.59602
BOSA,0.57641
BOSA,0.5598
BOSA,0.51362
BOSA,0.4594
BOSA,0.51302
BOSA,0.4594
BOSA,0.57483
BOSA,0.57483
BOSA,0.45874
BOSA,0.35274
BOSA,0.49937
BOSA,0.58669
BOSA,0.5612
BOSA,0.62633
BOSA,0.62886
BOSA,0.35125
BOSA,0.34834
BOSA,0.35102
BOSA,0.35456
BOSA,0.3524
BOSA,0.35415
BOSA,0.35522
BOSA,0.34913
BOSA,0.2849
BOSA,0.61407
BOSA,0.41194
BOSA,0.45623
BOSA,0.4032
BOSA,0.40257
BOSA,0.4027
BOSA,0.48329
BOSA,0.5112
BOSA,0.53998
BOSA,0.48605
BOSA,0.4869
BOSA,0.43636
BOSA,0.57012
BOSA,0.59779
BOSA,0.34905
BOSA,0.28319
BOSA,0.53373
BOSA,0.49028
BOSA,0.51999
BOSA,0.58268
BOSA,0.58268
BOSA,0.52907
BOSA,0.46725
BOSA,0.49683
BOSA,0.45772
BOSA,0.40411
BOSA,0.45772
BOSA,0.5642
BOSA,0.33396
BOSA,0.45866
